Provincias;Sexo;Periodo;Total
32 Ourense;Mujeres;2021;6,958
33 Asturias;Total;2023;13,891
33 Asturias;Total;2022;12,531
33 Asturias;Total;2021;12,9
33 Asturias;Hombres;2023;20,599
33 Asturias;Hombres;2022;18,97
33 Asturias;Hombres;2021;18,71
33 Asturias;Mujeres;2023;7,777
33 Asturias;Mujeres;2022;6,656
33 Asturias;Mujeres;2021;7,595
34 Palencia;Total;2023;8,865
34 Palencia;Total;2022;13,934
34 Palencia;Total;2021;12,629
34 Palencia;Hombres;2023;11,504
34 Palencia;Hombres;2022;24,29
34 Palencia;Hombres;2021;17,846
34 Palencia;Mujeres;2023;6,274
34 Palencia;Mujeres;2022;3,766
34 Palencia;Mujeres;2021;7,508
35 Palmas, Las;Total;2023;11,797
35 Palmas, Las;Total;2022;10,704
35 Palmas, Las;Total;2021;11,939
35 Palmas, Las;Hombres;2023;17,983
35 Palmas, Las;Hombres;2022;16,413
35 Palmas, Las;Hombres;2021;18,135
35 Palmas, Las;Mujeres;2023;5,689
35 Palmas, Las;Mujeres;2022;5,06
35 Palmas, Las;Mujeres;2021;5,807
36 Pontevedra;Total;2023;11,084
36 Pontevedra;Total;2022;10,466
36 Pontevedra;Total;2021;11,434
36 Pontevedra;Hombres;2023;18,375
36 Pontevedra;Hombres;2022;14,668
36 Pontevedra;Hombres;2021;17,085
36 Pontevedra;Mujeres;2023;4,284
36 Pontevedra;Mujeres;2022;6,542
36 Pontevedra;Mujeres;2021;6,148
37 Salamanca;Total;2023;7,638
37 Salamanca;Total;2022;10,408
37 Salamanca;Total;2021;7,354
37 Salamanca;Hombres;2023;12,599
37 Salamanca;Hombres;2022;16,39
37 Salamanca;Hombres;2021;11,356
37 Salamanca;Mujeres;2023;2,966
37 Salamanca;Mujeres;2022;4,76
37 Salamanca;Mujeres;2021;3,575
38 Santa Cruz de Tenerife;Total;2023;9,785
38 Santa Cruz de Tenerife;Total;2022;10,476
38 Santa Cruz de Tenerife;Total;2021;9,065
38 Santa Cruz de Tenerife;Hombres;2023;15,776
38 Santa Cruz de Tenerife;Hombres;2022;16,735
38 Santa Cruz de Tenerife;Hombres;2021;13,014
38 Santa Cruz de Tenerife;Mujeres;2023;4,023
38 Santa Cruz de Tenerife;Mujeres;2022;4,447
38 Santa Cruz de Tenerife;Mujeres;2021;5,251
39 Cantabria;Total;2023;7,802
39 Cantabria;Total;2022;10,053
39 Cantabria;Total;2021;8,212
39 Cantabria;Hombres;2023;10,849
39 Cantabria;Hombres;2022;13,704
39 Cantabria;Hombres;2021;14,099
39 Cantabria;Mujeres;2023;4,936
39 Cantabria;Mujeres;2022;6,615
39 Cantabria;Mujeres;2021;2,659
40 Segovia;Total;2023;3,847
40 Segovia;Total;2022;8,413
40 Segovia;Total;2021;6,507
40 Segovia;Hombres;2023;3,837
40 Segovia;Hombres;2022;12,897
40 Segovia;Hombres;2021;10,368
40 Segovia;Mujeres;2023;3,857
40 Segovia;Mujeres;2022;3,896
40 Segovia;Mujeres;2021;2,613
41 Sevilla;Total;2023;8,35
41 Sevilla;Total;2022;8,238
41 Sevilla;Total;2021;8,311
41 Sevilla;Hombres;2023;13,878
41 Sevilla;Hombres;2022;13,621
41 Sevilla;Hombres;2021;13,441
41 Sevilla;Mujeres;2023;3,083
41 Sevilla;Mujeres;2022;3,1
41 Sevilla;Mujeres;2021;3,411
42 Soria;Total;2023;11,136
42 Soria;Total;2022;13,494
42 Soria;Total;2021;11,306
42 Soria;Hombres;2023;19,752
42 Soria;Hombres;2022;19,967
42 Soria;Hombres;2021;15,632
42 Soria;Mujeres;2023;2,261
42 Soria;Mujeres;2022;6,841
42 Soria;Mujeres;2021;6,87
43 Tarragona;Total;2023;7,835
43 Tarragona;Total;2022;8,455
43 Tarragona;Total;2021;9,217
43 Tarragona;Hombres;2023;12,174
43 Tarragona;Hombres;2022;12,637
43 Tarragona;Hombres;2021;14,323
43 Tarragona;Mujeres;2023;3,504
43 Tarragona;Mujeres;2022;4,282
43 Tarragona;Mujeres;2021;4,12
44 Teruel;Total;2023;7,398
44 Teruel;Total;2022;12,631
44 Teruel;Total;2021;11,943
44 Teruel;Hombres;2023;11,676
44 Teruel;Hombres;2022;20,507
44 Teruel;Hombres;2021;20,604
44 Teruel;Mujeres;2023;3
44 Teruel;Mujeres;2022;4,523
44 Teruel;Mujeres;2021;3,029
45 Toledo;Total;2023;7,733
45 Toledo;Total;2022;8,705
45 Toledo;Total;2021;8,154
45 Toledo;Hombres;2023;13,486
45 Toledo;Hombres;2022;15,107
45 Toledo;Hombres;2021;13,418
45 Toledo;Mujeres;2023;1,911
45 Toledo;Mujeres;2022;2,224
45 Toledo;Mujeres;2021;2,828
46 Valencia/València;Total;2023;9,166
46 Valencia/València;Total;2022;8,469
46 Valencia/València;Total;2021;7,817
46 Valencia/València;Hombres;2023;12,876
46 Valencia/València;Hombres;2022;12,957
46 Valencia/València;Hombres;2021;12,259
46 Valencia/València;Mujeres;2023;5,615
46 Valencia/València;Mujeres;2022;4,166
46 Valencia/València;Mujeres;2021;3,549
47 Valladolid;Total;2023;9,747
47 Valladolid;Total;2022;10,005
47 Valladolid;Total;2021;8,687
47 Valladolid;Hombres;2023;12,568
47 Valladolid;Hombres;2022;13,834
47 Valladolid;Hombres;2021;12,288
47 Valladolid;Mujeres;2023;7,074
47 Valladolid;Mujeres;2022;6,373
47 Valladolid;Mujeres;2021;5,269
48 Bizkaia;Total;2023;5,275
48 Bizkaia;Total;2022;7,906
48 Bizkaia;Total;2021;6,179
48 Bizkaia;Hombres;2023;7,158
48 Bizkaia;Hombres;2022;11,692
48 Bizkaia;Hombres;2021;8,65
48 Bizkaia;Mujeres;2023;3,515
48 Bizkaia;Mujeres;2022;4,37
48 Bizkaia;Mujeres;2021;3,871
49 Zamora;Total;2023;4,802
49 Zamora;Total;2022;12,545
49 Zamora;Total;2021;14,255
49 Zamora;Hombres;2023;9,684
49 Zamora;Hombres;2022;19,284
49 Zamora;Hombres;2021;23,981
49 Zamora;Mujeres;2023;0
49 Zamora;Mujeres;2022;5,922
49 Zamora;Mujeres;2021;4,708
50 Zaragoza;Total;2023;7,32
50 Zaragoza;Total;2022;7,905
50 Zaragoza;Total;2021;7,607
50 Zaragoza;Hombres;2023;11,007
50 Zaragoza;Hombres;2022;11,743
50 Zaragoza;Hombres;2021;11,757
50 Zaragoza;Mujeres;2023;3,784
50 Zaragoza;Mujeres;2022;4,223
50 Zaragoza;Mujeres;2021;3,626
51 Ceuta;Total;2023;6,016
51 Ceuta;Total;2022;2,408
51 Ceuta;Total;2021;4,81
51 Ceuta;Hombres;2023;11,925
51 Ceuta;Hombres;2022;2,386
51 Ceuta;Hombres;2021;4,762
51 Ceuta;Mujeres;2023;0
51 Ceuta;Mujeres;2022;2,43
51 Ceuta;Mujeres;2021;4,859
52 Melilla;Total;2023;6,998
52 Melilla;Total;2022;1,174
52 Melilla;Total;2021;4,656
52 Melilla;Hombres;2023;9,258
52 Melilla;Hombres;2022;2,322
52 Melilla;Hombres;2021;6,889
52 Melilla;Mujeres;2023;4,702
52 Melilla;Mujeres;2022;0
52 Melilla;Mujeres;2021;2,36
